#,Reference,Qty,Value,Footprint,DNP
,,,,,
1,BAT1,1,BS-7,digikey-footprints:Battery_Holder_Coin_2032_BS-7,
,,1,,,
2,C1,1,10uF,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,
3,C2,1,100uF,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,
4,"D1, D2",2,RED,LED_THT:LED_D3.0mm,
5,Q1,1,2N3904,digikey-footprints:TO-92-3,
6,"R1, R3",2,22k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
7,R2,1,330k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
8,R4,1,100k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
9,R5,1,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
10,"R6, R7",2,100,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
11,S1,1,EG1218,digikey-footprints:Switch_Slide_11.6x4mm_EG1218,
12,U1,1,7555,555_Timer:ICM7555-PDIP,
